Funds Center,Name,From,To,User Name,Person Respons.,Fund
15118177,"E 400 KV SD-SN,Luckn",01.04.2006,31.12.9999,SUPPORT_FI01,Sri Pramod Agnihotri,
15118178,E 400 KV SD-Unnao,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Pallav Mukharji,
15118179,E 765 KV SD-Unnao,01.04.2006,31.12.9999,SUPPORT_FI01,Sri D.S.Sanger,
15118180,ETD-Unnao,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Sanjay Gupta,
15999150,ZAO-T Central-LKO,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Anoop Kr Mishra,
16119181,ECTC - Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri C P Tiwari,
16119182,ECTD II-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri N.K.Pandey,
16119183,ECTD-Bareilly,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Vinay Sukla,
16119185,ECTD I-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri V K Ojha,
16119187,ECTD-Sultanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Narendra Guptris,
16999184,CETC I-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Arun kumar,
16999186,CETC II-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri T P Tewari,
17120188,EM&TC - I - Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Samshad Hussain,
17120189,EM&TD-SarojiniNagar,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Rakesh Kumar,
17120191,EM&TD-Meerut,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Satyaveer Singh,
17120196,EM&TD-Agra,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Nand Kishor Gaut,
17121190,EM&TD-Varanasi,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Shailender K Sin,
17121197,EM&TD-Gomti NagarLKO,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Rakesh Kumar,
17121289,EM&TD-Gorakpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Naveen Chandra P,
17122193,ESDC - II - Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri A.C.Pandey,
17999192,CE Operation-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri A.C.Pandey,
17999194,"PSSB-SLDC, Lucknow",01.04.2006,31.12.9999,SUPPORT_FI01,Sri Suresh Chandra R,
17999195,TBU,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Manjar Hussain,
17999288,SLDC DSM(UI),01.04.2006,31.12.9999,SUPPORT_FI01,Sri Vijay Paswan,
18123200,ETC - Meerut,01.04.2006,31.12.9999,SUPPORT_FI01,Sh.Sanjay,
18123201,ETD-Meerut,01.04.2006,31.12.9999,SUPPORT_FI01,Shri Rahul,
18123202,ETD II-Meerut,01.04.2006,31.12.9999,SUPPORT_FI01,Sh.Arvind,
18123203,ETD-Baraut,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Puran chandra,
18124204,ETD-Khurja,01.04.2006,31.12.9999,SUPPORT_FI01,Sh. Bansi Lal,
18124205,ETD-Bulandshahar,01.04.2006,31.12.9999,SUPPORT_FI01,Er.Bansi Lal,
18124215,ETD-Hapur,01.04.2006,31.12.9999,SUPPORT_FI01,Sh. Jitendra Kumar,
18124220,E 400 KV SD-Noida,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Jitendra Kumar,
18125206,ETD-Muzaffarnagar,01.04.2006,31.12.9999,SUPPORT_FI01,Sh. Raj Kumar,
18125207,E400KVSD-Muzaffarngr,01.04.2006,31.12.9999,SUPPORT_FI01,Sh. Raj Kumar,
18125208,ETD-Saharanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Pramod,
18125209,ETD II-Saharanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sh. Yuvraj Singh,
18125210,ETD-Shamali,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Rajneesh Kumar,
18126211,ETC - Ghaziabad,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Uma Shanker,
18126212,ETD I-Ghaziabad,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Amba Parsad Vash,
18126213,ETD II-Ghaziabad,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Vikas Gupta,
18126214,ETD-Muradnagar,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Manish Kumar,
18126216,E400 KVSD-Muradnagar,01.04.2006,31.12.9999,SUPPORT_FI01,Sh. Rajesh,
18126217,E400 KVSDII-Muradngr,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Shashikant Singh,
18127218,ETD I-Noida,01.04.2006,31.12.9999,SUPPORT_FI01,Er. Puneet Gupta,
18127219,"ETD II, Noida",01.04.2006,31.12.9999,SUPPORT_FI01,Er. P. K. Shrivastav,
18128221,ETC I - Moradabad,01.04.2006,31.12.9999,SUPPORT_FI01,Sh.Yatendra,
