Mat.Typ,Material,Base Unit of Measure,Mat.Desc,Plant,Mat.Grp,Mat.Grp Desc,Sub group,Sub Group Desc,Split Valuation Status,Serial Number Status
ZSPR,4000004216,NO,"TARPAULIN,9X6 MTR",4252,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004215,NO,"HANDLE,TROLLEY",4110,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004211,NO,"MCB,100A,TPN,415V",4137,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004210,NO,BALANCING TRANSFORMER,4133,M0009,ISOLATOR ACCS.,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004193,NO,"SPIKE,EARTHING",4152,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004154,NO,"CHOKE,CFL,2X36W",4258,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZTOW,4300001200,NO,"HANGER,TWR,420KV",4270,M0044,TOWER ACCESSORIES,EX-M0044-001,TOWER ACC,YES,NO
ZSPR,4000004143,NO,"KIT,TUNEUP,COMPRESSOR",4152,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004138,NO,65 MOD W/O CRYSTAL CHANNEL FILTER,4184,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004137,NO,"WHEELING,ASSY,FREE",4129,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004136,NO,"TUBE,COPPER TUBE",4234,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004135,NO,TAP,4175,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004133,NO,"STRIP,CU,ELECTROLYTIC,ISO,245KV",4266,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004132,NO,"SPRING CHARGING,GEAR,ASSY",3188,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004131,NO,SHOCKPRO RUBBER OF MB WITH HARDWARE,4240,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004130,NO,SHAFT WITH LEVER FOR AUXILIARY,4217,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004129,NO,"ROD,RAGING,CONDUIT PIPE",3131,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004127,NO,"PLASTIC,GEAR,W/PISTON&SHAFT",4206,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004126,M,"PIPE,GI",4244,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004125,TO,"PIPE,ERW,STRUCTURE",4216,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004124,NO,OPERATING DEVICE MOTOR,3254,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004123,NO,"OIL DRUM,50LTR",4228,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004122,NO,"NON RETURNING,BERAING,ASSY",4128,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004118,NO,JOINTAL ZC 10GMS,4273,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004117,NO,HOLDING LATCH WITH ROLLER BEARING,4205,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004116,M,"GI PIPE,150 NB",4189,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004115,NO,FRONT & REAR DOOR GASKET,4111,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004114,NO,E-TENSHEET FOR 420KV,4234,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004113,NO,"CONTACT FIXING ARRANGEMENT,FEMALE",4139,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004111,NO,"CONNECTOR,INSULATOR,STAY GUARD",4258,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004110,NO,"CLAMP,MS",4168,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004109,NO,"CHAIN LINK,FENCING",4213,M0039,OTHER T&P,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004106,NO,"BEARING,EARTH SWITCH",4183,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004105,NO,BEARING SHAFT CRANK,4247,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004104,NO,BEARING OF HOLDING LATCH BARPIN,4209,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004103,NO,BEARING OF BARPIN,3131,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004102,NO,ANTIPUMPING SPRING,4204,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004100,NO,"BUSHING,LV,36/0.4KV T/F",4143,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004097,NO,FERRO PAINTAING FRAME,4262,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004096,NO,PARALLEL ROLLER,4143,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004095,NO,SELECTORMEZIM,3243,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004094,NO,WEPER,4183,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004093,NO,BACK-STOP,4231,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004092,NO,"ARRESTOR,0.8KV",4120,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004091,NO,"ALARM,FAULT INDICATOR",4159,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004090,NO,PLUMBING MATERIAL,4163,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004088,NO,"PUSH BUTTON,ALARM",4186,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004087,NO,FLY WHEEL EXTRACTOR,4182,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004086,NO,"DAMPER,EXHAUST AIR",4238,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004085,NO,VIBRATION ABSORVER,4114,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004084,NO,"DAMPER,FRESH AIR",4230,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004083,NO,TNC SPARES:PCB CONNECTOR FOR ETB,4270,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004063,NO,STABILISER TUBE,4260,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004062,NO,INDICATION LAMP ASSEMBLY,4121,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004060,NO,POWER TRANSISTOR,4194,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004059,NO,"DIODE,6A",4187,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004057,NO,"TRANSFORMER,380-420V/63.5-110V",4244,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004054,NO,TEST PLUG,4270,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004047,NO,"MODULE,MICROPROCESSOR BASED",3151,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004045,NO,"MICRO CAPACITOR,W/MOUNTING & FXNG SCREW",2150,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
